رقم الملف,رقم القرار,تاريخ القرار,محكمة الاستئناف,القاعدة القانونية,معاينة القرار الاستئنافي
2023/1221/144,2023/1221/4517,2023-12-11,محكمة الاستئناف بأكادير,‫• مسطرة تأجيل البيع الجبري للمنقولات - دعوى الاستحقاق الفرعية - اختصاص رئيس‬‬ ‫المحكمة.‬‬ ‫• اختصاص رئيس المحكمة لوقف البيع الجبري للمنقول المحجوز من طرف الدائن لمدينه -‬‬ ‫ايقاف بيع المنقولات المدعى ملكيتها من الغير - اخراج المنقولات من وعاء الحجز التنفيذي‬‬ ‫المراد بيعه بالمزاد العلني- شروط سماع الامر بإيقاف التنفيذ الجبري ببيع المنقولات.‬‬ ‫• وجوب ممارسة دعوى الاستحقاق الفرعية على المنقول امام محكمة الموضوع - ممارستها‬‬ ‫من طرف الغير مدعي الاستحقاق لملكية المنقول المحجوز.‬‬ ‫• دعوى الاستحقاق الفرعية المرفوعة الى محكمة الموضوع لا توقف في ذاتها اجراءات‬‬ ‫البيع الجبري للمنقول موضوع الحجز التنفيذي من الدائن به - وجوب لجوء الغير الى رئيس‬‬ ‫المحكمة بصفته تلك طبقا للفصل ‪ 468‬من قانون المسطرة المدنية للأمر بوقف التنفيذ ببيع‬‬‬ ‫المنقولات المدعى ملكيتها- وجوب تقديم دعوى المنقولات المدعى ملكيتها من الغير من وعاء‬‬ الحجز التنفيذي.‬‬ ‫• يجب ان يكون طلب الاخراج مرفقا بوثائق وحجج كافية- يقدر رئيس المحكمة بصفته‬‬ ‫قاضيا للمستعجلات كفاية الحجج لوقف التنفيذ وتقديرها.‬‬ ‫• لا يختص رئيس المحكمة بتقدير صحة او عدم صحة الوثائق والحجج المرفقة بمقال‬‬ ‫الإيقاف. - اختصاص اصيل لقضاء الموضوع وليس لقاضي المستعجلات والمرفوع اليها دعوى‬‬ ‫الاستحقاق الفرعية في الموضوع- يقدر الرئيس مدى كفايتها لسماع الامر بوقف التنفيذ الى حين‬‬ ‫بت محكمة الموضوع المختصة في الموضوع بشأن الاستحقاق لمدعيها، والموجود بأمر القضاء‬‬ ‫ضمن وعاء الأموال التي يجرى التنفيذ على أساسها.‬‬,
2023/8230/3685,2023/8230/6868,2023-12-07,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/8218/2206,2023/8218/2505,2023-12-06,محكمة الاستئناف التجارية بمراكش,لما تبت للمحكمة ان المستأنف بلغ سن الرشد وقت تسجيل المقال الاستئنافي وان المقال مرفوع باسم ابيه نيابة عنه دون اي توكيل ورتبت على ذلك عدم قبول الاستئناف لانعدام صفته تكون قد سايرت الثابت لها من وثائق الملف وطبقت القانون تطبيقا سليما.,معاينة القرار الاستئنافي
2023/1221/226,2023/1221/4422,2023-12-04,محكمة الاستئناف بأكادير,‫• مسطرة فتح محل مهجور- اختلاف الجهة القضائية المختصة بفتح المحل باختلاف‬‬ ‫القانون الواجب التطبيق.‬‬ ‫• لا يكفي معيار ممارسة التجارة في المحل المكترى لتطبيق قانون الكراء التجاري - وجود‬‬ ‫استثناءات من اعمال هذا القانون بموجبه تخرج بعض المحلات من نطاق تطبيق هذا القانون.‬‬ ‫• كراء محل حبسي لممارسة التجارة- اكتساب الممارس للتجارة للأصل التجاري – عدم‬‬ ‫احقيته من الاستفادة من القواعد المقررة للكراء التجاري ومنها الحق في التعويض والاستفادة‬‬ من التجديد المسترسل لعقد الكراء- لا تعد ممارسة التجارة المعيار الوحيد للاستفادة من قانون‬‬ ‫الكراء التجاري من عدمه.‬‬ ‫• مسطرة فتح المحل المقررة في قانون الكراء التجاري لا تطبق الا اذا كان عقد الكراء‬‬ ‫خاضعا لقانون الكراء التجاري – لا يدخل ضمن المحلات المستثناة من تطبيق هذا القانون- لا‬‬ ‫يخضع لقانون الكراء التجاري فتح محل مهجور كان معدا لممارسة النشاط التجاري مكترى‬‬ ‫من الاحباس.‬‬ ‫• عدم خضوع الكراء من تطبيق الكراء التجاري- خروجه من اختصاص المحكمة التجارية‬‬ لفائدة صاحبة الولاية العامة- اعمال قواعد قانون الاحباس وقانون الالتزامات والعقود لا‬‬ ‫الكراء التجاري حسب الراجح في العمل القضائي.‬‬,
2023/8216/985,2023/8216/2435,2023-11-29,محكمة الاستئناف التجارية بمراكش,لما تبت للمحكمة ان الدين ناشئ بحجة كتابية تتمثل في الكمبيالة كورقة عرفية مرتبة على ذلك ضرورة اتبات أداء قيمتها بنفس الحجة مستبعدة طلب المستأنف الرامي لإجراء بحث قصد الاستماع للشهود لاتبات التحلل من الدين فإن قرارها غير مشوب باي خرق لحقوق الدفاع ومعلل تعليلا سليما.,معاينة القرار الاستئنافي
2023/8232/1705,2023/8232/2439,2023-11-29,محكمة الاستئناف التجارية بمراكش,لما قضت المحكمة بتصفية الغرامة التهديدية بناء على حكم نهائي صدر بتحديدها استنادا على تبوث امتناع وتعنت المستأنفة عن التنفيذ المستمد من المحضر المنجز من قبل المفوض القضائي تكون قد سايرت الثابت لها من وثائق الملف وطبقت القانون بشكل سليم.,معاينة القرار الاستئنافي
2023/8216/1438,2023/8216/2426,2023-11-28,محكمة الاستئناف التجارية بمراكش,توجيه اليمين الحاسمة للخصم تحسم النزاع بين الطرفين,معاينة القرار الاستئنافي
2023/8226/3988,2023/8226/6589,2023-11-28,محكمة الاستئناف التجارية بالدار البيضاء,الحجز لدى الغير المستأنف,
2023/8230/3398,2023/8230/6488,2023-11-23,محكمة الاستئناف التجارية بالدار البيضاء,الطعن بالبطلان في الأحكام التحكيمية,
2023/1221/237,2023/1221/4144,2023-11-20,محكمة الاستئناف بأكادير,‫• الحجز التحفظي لضمان مبلغ معين من المال - قيام شبهة ومظنة المديونية - تقديرها‬‬ من طرف محكمة الرئيس.‬‬ ‫• يؤمر بالحجز التحفظي لضمان دين ثابت او له ما يرجح ثبوته بذمة المدين بالدين..‬‬ ‫• يحق للمنخرط في الودادية السكنية الذي اودع المبالغ في حساب المؤسسة اجراء الحجز‬‬ ‫التحفظي بالمبلغ المودع في الحساب خاصة امام متابعة مسيري الودادية جنائيا، وتقديم طالب‬‬ ‫الاجراء لمذكرة المطالب المدنية في مواجهتهم.‬‬ ‫• بقيام مظنة الدين، تكون موجبات الحجز التحفظي قائمة.‬‬,
